"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6",4.75485913383311,-1.32224541700804,0.692310904016478,-1.90990118650012,0.0561459372848613,0.138619252604616
"ENSG00000279457.4",18.3276651959904,-0.325313062646822,0.264858042574917,-1.22825442446138,0.219351473883818,0.374536762442892
"ENSG00000290385.1",9.72238363655093,-0.259653282145743,0.589457392869854,-0.440495420511372,0.659578328344246,0.784242975459297
"ENSG00000225972.1",29.6479876794269,5.30812108363685,1.52794401387219,3.47402852162413,NA,NA
"ENSG00000225630.1",149.527760009095,0.298068835684476,0.201043826547744,1.48260625955451,0.138179053086369,0.26832113487858
"ENSG00000237973.1",80.2548070064157,-0.0769356554417076,0.265153587129661,-0.29015506173064,0.771697613527234,0.862147526513975
"ENSG00000229344.1",4.36108463930112,-0.308368454190884,0.64442735850974,-0.478515460460892,0.632283373026545,0.763236563657715
"ENSG00000248527.1",333.177101785466,-0.0696013341966076,0.214891777244845,-0.323890169689019,0.746021186623952,0.844780060006297
"ENSG00000198744.5",6.13800334507526,-0.446805883704909,0.490455905920314,-0.91100112836138,0.362294779141616,0.530378102478307
"ENSG00000291215.1",11.1067751518144,0.467730738714971,0.326588842486891,1.43216998827431,0.152095178488446,0.287677245331185
"ENSG00000237491.10",43.9339753333705,0.387910993013153,0.203050135054179,1.91041977346949,0.0560791869113037,0.138553289161229
"ENSG00000177757.2",13.2414121227596,0.800981277965244,0.324860557108078,2.46561566321136,0.0136778007714175,0.0479680559663392
"ENSG00000225880.6",28.1800843184613,0.716474002134069,0.308687567192258,2.32103290926463,0.0202850677784553,0.0648659866780725
"ENSG00000228794.12",168.782312471429,0.935999000875037,0.289145331580843,3.23712299194891,0.00120741361267256,0.00714334788625595
"ENSG00000230699.2",4.94964990942905,3.28868161182469,2.24573184673576,1.46441420270407,NA,NA
"ENSG00000188976.11",419.899798940265,-0.24990803716201,0.127557310053839,-1.95918240245526,0.0500914292408046,0.12728151668397
"ENSG00000187961.15",70.3721482703189,0.0256502373067627,0.225451984671477,0.113772506124262,0.909418133979471,0.948733801466103
"ENSG00000187583.11",21.0419011735105,1.3668747311152,0.381888752184869,3.57924846776715,0.000344583730954211,0.00259483167178381
"ENSG00000272512.1",12.4588638865567,3.36653599296819,0.638728563654624,5.27068333018617,1.35916791135259e-07,4.21036385685849e-06
"ENSG00000188290.11",48.0733583580232,3.45565737795874,0.586661841713969,5.8903735205665,3.85323685808391e-09,2.04123256619823e-07
