"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6",4.75485913383311,-0.569899001425406,0.774246993477563,-0.736068730297138,0.461688871483329,0.637292681814863
"ENSG00000279457.4",18.3276651959904,-0.209354901610303,0.293592102297732,-0.713080835526004,0.475795737689019,0.649913669193244
"ENSG00000290385.1",9.72238363655093,0.208141098589332,0.663745041993921,0.313585918418413,0.753835555926663,0.858420111558076
"ENSG00000225972.1",29.6479876794269,0.397981395419072,1.6474986014595,0.24156706115957,NA,NA
"ENSG00000225630.1",149.527760009095,0.0229289103469053,0.22491779542063,0.101943513646952,0.918801510959733,0.959026497943695
"ENSG00000237973.1",80.2548070064157,0.28078027589621,0.298981324732445,0.93912312465495,0.347667532751336,0.528564608325225
"ENSG00000229344.1",4.36108463930112,0.0461680332186837,0.726426165878215,0.0635550251178916,0.949324544056279,0.974787967956727
"ENSG00000248527.1",333.177101785466,0.200220013300447,0.24403828188812,0.820445102921344,0.411962412448422,0.590842700248907
"ENSG00000198744.5",6.13800334507526,0.0431770274644224,0.567371867345006,0.0761000499839155,0.939339500376421,0.969559697380534
"ENSG00000291215.1",11.1067751518144,0.607920081391021,0.372010064001336,1.63414955727875,0.10222745122379,0.220053410605703
"ENSG00000237491.10",43.9339753333705,-0.0999228849636587,0.221814510435118,-0.45047947840584,0.652364748098198,0.789273962819666
"ENSG00000177757.2",13.2414121227596,0.0480451291896965,0.353454272932363,0.135930254262029,0.891876418003639,0.943551420256579
"ENSG00000225880.6",28.1800843184613,0.261581948918854,0.347138760057276,0.75353714138892,0.45112720107117,0.628534402272342
"ENSG00000228794.12",168.782312471429,-0.057498051178533,0.327314453201556,-0.175666093006673,0.860556274873426,0.92433629144256
"ENSG00000230699.2",4.94964990942905,-0.0105232655961158,2.47072916397332,-0.00425917407280398,NA,NA
"ENSG00000188976.11",419.899798940265,-0.0471207586678469,0.144505497669359,-0.326082809497415,0.744361702859269,0.852407242796572
"ENSG00000187961.15",70.3721482703189,-0.159991040669445,0.251975936953443,-0.63494571189552,0.525463822315991,0.690881457149162
"ENSG00000187583.11",21.0419011735105,3.01195710169807,0.425845940727177,7.07287968168684,1.51751058544583e-12,3.7784921843367e-11
"ENSG00000272512.1",12.4588638865567,5.68482897678267,1.02754307918778,5.5324483147473,3.15791511851483e-08,4.28889897652576e-07
"ENSG00000188290.11",48.0733583580232,6.73244649013917,0.765218191011102,8.7980742868167,1.39183894148429e-18,6.6139422102661e-17
"ENSG00000187608.10",4552.42245019576,7.65681031078268,0.469774819376824,16.2988946937168,1.00493032320851e-59,3.42104640848325e-57
"ENSG00000188157.15",2200.25420657053,2.14445690614047,0.319922516611787,6.70305087885602,2.04112354158859e-11,4.44297394807428e-10
"ENSG00000291156.1",54.3420230396841,-0.622946396527653,0.402651102179036,-1.54711211060007,0.121836214135459,0.251171530103935
"ENSG00000273443.1",15.297949206988,-0.548355808662577,0.441847079249579,-1.24105337437986,0.214586032178497,0.377116607452391
"ENSG00000217801.13",8.56440718264533,-0.45298753117325,0.489960175634729,-0.924539490554346,0.355205500643398,0.535944011215636
"ENSG00000237330.3",7.67729623370003,0.25691657983524,0.680776804467506,0.377387387686037,0.705885738346004,0.82744504618775
"ENSG00000131591.18",129.93979877593,-0.373367585079733,0.230721960095841,-1.61825768524435,0.105607075793495,0.225597833137302
"ENSG00000285812.1",6.49755367638584,-0.489146149998928,0.49377283147361,-0.990629939154664,0.321866312929941,0.500702363795277
"ENSG00000186891.14",47.483152218004,1.90308313845553,0.515471790336846,3.69192490089889,0.000222563189969391,0.0013373111119515
"ENSG00000186827.12",209.214604224691,2.87358421051442,0.465112958348403,6.17825016253772,6.48159558389743e-10,1.14648052721647e-08
"ENSG00000078808.20",1388.2708785979,0.496048016141348,0.11880182371473,4.17542425386053,2.97431211958428e-05,0.000221855479437095
"ENSG00000176022.7",152.824271590099,-0.0303037106025193,0.222966286064237,-0.135911626539757,0.891891144116635,0.943551420256579
"ENSG00000160087.21",269.150181372083,0.00643382995031197,0.157274084214569,0.0409083923930805,0.967368926887514,0.984142900181296
"ENSG00000162572.21",12.7361028407619,-0.412247032599188,0.400420883484513,-1.02953429654258,0.30322867203166,0.480565260124356
"ENSG00000131584.19",381.832636065116,-0.18740240768658,0.209128591659914,-0.896110886603852,0.370193543246094,0.551347566452584
"ENSG00000169972.13",44.7283616299928,-0.183652095773891,0.263233838997727,-0.697676622706084,0.485379451077144,0.65796655663346
"ENSG00000127054.22",474.453821469441,0.0877658976826997,0.125794449742358,0.697692925740802,0.48536925321714,0.65796655663346
"ENSG00000240731.1",14.8896837971444,0.0579530254015194,0.318831154814569,0.18176713450486,0.855765477681542,0.921341036371573
"ENSG00000224051.7",118.200992560784,-0.224855481259139,0.316006531577039,-0.711553271183959,0.476741452088167,0.650546260616565
"ENSG00000169962.5",17.9414661435313,-0.185934980791616,0.427993208258873,-0.43443441906011,0.663973008148883,0.797735679658626
"ENSG00000107404.21",227.545756258906,0.0687148474113009,0.315117736835645,0.218060868617942,0.827381686035254,0.90457029020786
"ENSG00000162576.17",46.3457613400167,-0.373079806844315,0.331030509983122,-1.12702544204562,0.259731724240265,0.431094610569037
"ENSG00000175756.14",265.939846662935,0.165398768260784,0.196406768180345,0.84212356729434,0.399718790833409,0.579729041098378
"ENSG00000221978.13",999.728281586698,0.212729389679668,0.100362634635838,2.11960746598123,0.0340391623348856,0.0944112612475673
"ENSG00000224870.9",120.195209201988,0.0946207494188026,0.161558441302232,0.585675057620744,0.558093898565085,0.716472890235577
"ENSG00000242485.6",226.841042766588,0.101830645201745,0.141681230550758,0.718730666058574,0.472306884694044,0.646828399478664
"ENSG00000272455.1",9.78796400735528,0.322463015729926,0.398369459115424,0.809457171857383,0.418252228175346,0.597362309362491
"ENSG00000179403.12",22.2618279306392,0.638708671619037,1.17722794546378,0.542553100340659,0.587437537593418,0.73972032658207
"ENSG00000160072.20",180.805492042278,0.0719692507860541,0.175449192522749,0.410199954478118,0.681659274286148,0.80993252733003
"ENSG00000197785.14",107.190556039119,-0.129439765031207,0.278192149274127,-0.465289065018362,0.641724464507053,0.781344500642111
"ENSG00000160075.12",660.432294001145,-0.0850693922212771,0.0754501026973839,-1.12749206667716,0.259534492842422,0.431002091835715
"ENSG00000215014.5",12.5298159929152,0.13209658309055,0.434147077492676,0.304266894651106,0.760924564449058,0.8628831108548
"ENSG00000228594.4",65.1828934908419,-0.894034509384838,0.32570119903856,-2.74495307976742,0.00605195497357462,0.0232000917447389
"ENSG00000286989.1",9.43403415889152,-1.27907741858867,0.468062908049384,-2.73270408013984,0.00628167420809765,0.023944064638651
"ENSG00000272106.1",29.6359435843768,-0.302848488944057,0.256017082553361,-1.18292297499693,0.236839675278061,0.404125940577174
"ENSG00000197530.13",153.320757575424,0.124312874761568,0.275711353364397,0.450880506894717,0.6520756734701,0.789266131723808
"ENSG00000248333.9",96.20439176242,0.183369617175517,0.153998591945011,1.19072268687362,0.233762468605296,0.400289554140148
"ENSG00000189339.12",384.074931792771,-0.407319135868844,0.284482573506063,-1.43178940927348,0.152204099124163,0.294948704965693
"ENSG00000293187.1",22.5370117163434,-0.113232383583361,0.234391618548893,-0.483090582693944,0.629031420413271,0.771648539479087
"ENSG00000269737.3",6.45507401225463,-0.313709708950612,0.419619650037093,-0.747604905830509,0.454698504765545,0.631256331858538
"ENSG00000008128.23",20.2678183080702,0.463502420333604,0.436072325494575,1.06290262700785,0.28782611157496,0.462759138507714
"ENSG00000268575.1",16.4493800109418,0.100559160538635,0.438782178898093,0.229177859481822,0.818730680233566,0.898898239702349
"ENSG00000293188.1",39.1793532532911,-0.726606496161927,0.507714041037351,-1.4311333495472,0.15239200095626,0.295257724562203
"ENSG00000290854.1",15.3025889878592,-0.532672129608092,0.59690729974817,-0.892386690249594,0.372185702631112,0.553520611676407
"ENSG00000008130.15",3359.30863475859,1.00379632417307,0.152574392238817,6.57906159378222,4.73426638430059e-11,9.78226624242646e-10
"ENSG00000078369.19",2962.49746518828,0.0628320737716622,0.119746141358679,0.524710634169491,0.599784363654868,0.749180276430495
"ENSG00000162585.17",75.0646352254951,-0.450656506694268,0.168949112215254,-2.66740973530596,0.00764384190548233,0.0281689478277278
"ENSG00000157933.11",228.207003860734,-0.90640939370911,0.268723306615017,-3.37302113883134,0.000743482445122211,0.0038655874950946
"ENSG00000116151.14",44.7346606953829,-0.411452361758216,0.182069081535314,-2.25986948628842,0.0238293522171097,0.0713231951773565
"ENSG00000292993.1",5.41961937896075,-0.758985684306126,0.497433570202839,-1.52580310170187,0.127058908022395,0.259533533149266
"ENSG00000157916.20",787.146719652129,0.0199313255428067,0.0642870444577765,0.310036426637991,0.756533255776811,0.8603597803648
"ENSG00000157911.11",70.281894367543,-0.148058307695603,0.176156419731119,-0.840493397411205,0.400631802030801,0.580607160372085
"ENSG00000149527.18",23.0195631282098,-1.10794062071123,0.339698137917178,-3.2615445804456,0.001108070074861,0.00547079961354342
"ENSG00000157881.16",219.363798928141,0.0372060703689361,0.16506477502125,0.225402847846527,0.821665896384992,0.901072771669346
"ENSG00000272449.3",77.3042023530293,0.283534187029187,0.351143184706101,0.807460316413371,0.419401328700804,0.598474510336482
"ENSG00000238164.6",393.110419390025,-0.0300203109294939,0.32565893961354,-0.0921832852650049,0.926552417920303,0.963029189884343
"ENSG00000157873.18",4953.82262949396,-0.379883235203197,0.177692591115277,-2.13786761068023,0.0325274896811248,0.0912628993857456
"ENSG00000225931.3",73.4664456188132,-0.766215082797081,0.201953814089157,-3.7940114488693,0.000148232834365948,0.000936477955108997
"ENSG00000228037.1",34.1800265899578,0.460220888172598,0.300618053269114,1.53091566912852,0.125790236120657,0.257557817786784
"ENSG00000289610.2",4.60453716552584,0.257273892952264,0.584020560523003,0.440521978749977,0.659559097322426,0.794540996472156
"ENSG00000157870.17",2735.68255146163,-0.475009970369925,0.238458476972257,-1.99200286943537,0.0463707430507368,0.119961984576006
"ENSG00000142606.16",8.92123881949532,-0.295822593571385,0.563584971837203,-0.52489439632687,0.599656605111204,0.749110814037133
"ENSG00000215912.13",56.23394606325,-0.0673412785907557,0.245135196727875,-0.274710769769677,0.783538456315318,0.877656273976068
"ENSG00000272235.1",11.6088762323927,0.84385105663253,0.634864103112693,1.32918376152501,0.183787351088487,0.338045007325378
"ENSG00000287828.1",17.7083776184847,1.46027674689538,0.586633187356258,2.48925014535286,0.0128012861792067,0.0430078480500576
"ENSG00000162591.17",304.600919935852,-0.494520689705164,0.437511752769767,-1.13030264118504,0.258348722035061,0.429877368732379
"ENSG00000158109.15",259.431464736021,-0.773928753412225,0.175961844751893,-4.39827597001762,1.09114179339917e-05,9.01298746289864e-05
"ENSG00000116213.16",188.007194023022,0.101043284183998,0.13261341282498,0.761938645809173,0.446096623389739,0.623772303636881
"ENSG00000078900.16",5.67331401568681,-0.321528225408872,0.424521423561421,-0.757389869070655,0.448816323821527,0.626478441922285
"ENSG00000293478.1",112.20777878255,-0.0466464024431259,0.117840018525847,-0.395845172350296,0.692219250215179,0.817297302136025
"ENSG00000235169.11",4.51744044734855,1.59158815953939,0.661005435228508,2.40782915648672,0.016047688731195,0.0517463205267073
"ENSG00000130764.10",305.875232703383,0.0275649925840144,0.116143543150314,0.237335557675724,0.812396478959115,0.894592495602131
"ENSG00000272153.1",7.61011555166104,-0.433292299672605,0.368627265550112,-1.17542119144657,0.239826249427101,0.407914808387515
"ENSG00000116198.14",475.355253340439,-0.0162168416192941,0.0835516441663784,-0.194093626535955,0.846102572021486,0.9158251605545
"ENSG00000169598.17",93.5722382005038,-0.0510189265684327,0.154125816532781,-0.331021289723914,0.740628404380235,0.849952442407292
"ENSG00000198912.12",319.436530735186,0.258855487372874,0.111102084559286,2.32988866410282,0.0198120363145749,0.0614513437055208
"ENSG00000236423.8",32.0291374918213,0.454546029128009,0.316940491727926,1.43416837227037,0.151524220287316,0.294062955994169
"ENSG00000131697.18",105.825582462008,-0.390480990497803,0.207556888977684,-1.88132030895773,0.059928359991652,0.146736507910228
"ENSG00000069424.16",2946.49995429742,-1.0736696315845,0.129828610992413,-8.26990001184898,1.34071406684638e-16,5.28297311425652e-15
"ENSG00000116251.11",262.657237554046,-0.68080302373969,0.157329102658009,-4.32725422212299,1.50979667686955e-05,0.000121239125258596
"ENSG00000158286.13",47.6325857598285,-0.290062977119699,0.323552264696403,-0.896494967797157,0.369988466732072,0.551164410649128
"ENSG00000116237.16",672.499909075048,-0.616578713113403,0.110382638154777,-5.5858305565124,2.32585928035221e-08,3.23935572205191e-07
"ENSG00000158292.7",226.64415825093,1.34228321587594,0.357229166567769,3.75748494663103,0.000171629688076232,0.00106612686287497
"ENSG00000097021.21",135.652098255931,1.82669903386885,0.256178489790325,7.13057148304666,9.99530490042682e-13,2.54054469476454e-11
"ENSG00000069812.11",22.70199131072,1.26533293981042,0.707438882175253,1.78861096229223,0.0736774911671393,0.172373454436324
"ENSG00000162408.11",366.457354991791,-0.305554581262483,0.0833201162769605,-3.66723661602684,0.000245185891705189,0.0014609842832568
"ENSG00000229519.2",8.93760363295798,-0.304811095788369,0.354457456838763,-0.859937038726267,0.389823749995043,0.57079960459717
"ENSG00000173662.21",6.18751658215447,-0.0447405324596642,0.592339888838747,-0.0755318581488338,0.939791550788181,0.969702174189274
"ENSG00000204859.13",329.164793036094,-0.260410433534747,0.125861513280397,-2.06902353823284,0.0385438779429199,0.104151225681545
